year,Hour,year_month,starttime
2019,0,2019-01,6759
2019,0,2019-02,6457
2019,0,2019-03,10518
2019,0,2019-04,12540
2019,0,2019-05,15918
2019,0,2019-06,23654
2019,0,2019-07,23786
2019,0,2019-08,24575
2019,0,2019-09,23733
2019,0,2019-10,18693
2019,0,2019-11,12220
2019,0,2019-12,9259
2019,1,2019-01,3971
2019,1,2019-02,3576
2019,1,2019-03,5834
2019,1,2019-04,6943
2019,1,2019-05,8451
2019,1,2019-06,13285
2019,1,2019-07,13977
2019,1,2019-08,14398
2019,1,2019-09,13741
2019,1,2019-10,10843
2019,1,2019-11,6559
2019,1,2019-12,5261
2019,2,2019-01,2374
2019,2,2019-02,2036
2019,2,2019-03,3305
2019,2,2019-04,4238
2019,2,2019-05,5090
2019,2,2019-06,8210
2019,2,2019-07,8448
2019,2,2019-08,9182
2019,2,2019-09,8529
2019,2,2019-10,6491
2019,2,2019-11,3996
2019,2,2019-12,3352
2019,3,2019-01,1600
2019,3,2019-02,1271
2019,3,2019-03,2254
2019,3,2019-04,2699
2019,3,2019-05,3270
2019,3,2019-06,5037
2019,3,2019-07,5332
2019,3,2019-08,5653
2019,3,2019-09,5630
2019,3,2019-10,4345
2019,3,2019-11,2734
2019,3,2019-12,2379
2019,4,2019-01,2214
2019,4,2019-02,2046
2019,4,2019-03,2596
2019,4,2019-04,3160
2019,4,2019-05,3765
2019,4,2019-06,4902
2019,4,2019-07,5296
2019,4,2019-08,5465
2019,4,2019-09,5642
2019,4,2019-10,4813
2019,4,2019-11,3449
2019,4,2019-12,2509
2019,5,2019-01,8289
2019,5,2019-02,7350
2019,5,2019-03,8491
2019,5,2019-04,10662
2019,5,2019-05,13317
2019,5,2019-06,13449
2019,5,2019-07,15256
2019,5,2019-08,15888
2019,5,2019-09,16561
2019,5,2019-10,15918
2019,5,2019-11,11435
2019,5,2019-12,7108
2019,6,2019-01,25551
2019,6,2019-02,23659
2019,6,2019-03,26985
2019,6,2019-04,36959
2019,6,2019-05,43257
2019,6,2019-06,40992
2019,6,2019-07,48449
2019,6,2019-08,51609
2019,6,2019-09,52031
2019,6,2019-10,48136
2019,6,2019-11,35544
2019,6,2019-12,21363
2019,7,2019-01,53229
2019,7,2019-02,49768
2019,7,2019-03,57658
2019,7,2019-04,81455
2019,7,2019-05,91263
2019,7,2019-06,84234
2019,7,2019-07,97777
2019,7,2019-08,102211
2019,7,2019-09,114279
2019,7,2019-10,106690
2019,7,2019-11,76886
2019,7,2019-12,46227
2019,8,2019-01,92913
2019,8,2019-02,88034
2019,8,2019-03,106310
2019,8,2019-04,146787
2019,8,2019-05,156849
2019,8,2019-06,142783
2019,8,2019-07,164118
2019,8,2019-08,175967
2019,8,2019-09,194202
2019,8,2019-10,189141
2019,8,2019-11,135997
2019,8,2019-12,80143
2019,9,2019-01,69111
2019,9,2019-02,66537
2019,9,2019-03,87859
2019,9,2019-04,117324
2019,9,2019-05,122977
2019,9,2019-06,123695
2019,9,2019-07,134660
2019,9,2019-08,145643
2019,9,2019-09,150024
2019,9,2019-10,142650
2019,9,2019-11,104642
2019,9,2019-12,67552
2019,10,2019-01,44335
2019,10,2019-02,44238
2019,10,2019-03,61627
2019,10,2019-04,82454
2019,10,2019-05,87062
2019,10,2019-06,96766
2019,10,2019-07,95879
2019,10,2019-08,107688
2019,10,2019-09,112416
2019,10,2019-10,96392
2019,10,2019-11,74300
2019,10,2019-12,52307
2019,11,2019-01,44348
2019,11,2019-02,45219
2019,11,2019-03,63253
2019,11,2019-04,84273
2019,11,2019-05,90397
2019,11,2019-06,104227
2019,11,2019-07,99345
2019,11,2019-08,116830
2019,11,2019-09,117770
2019,11,2019-10,97454
2019,11,2019-11,76204
2019,11,2019-12,55090
2019,12,2019-01,52150
2019,12,2019-02,52216
2019,12,2019-03,74348
2019,12,2019-04,98672
2019,12,2019-05,105524
2019,12,2019-06,118214
2019,12,2019-07,114918
2019,12,2019-08,130819
2019,12,2019-09,135340
2019,12,2019-10,111732
2019,12,2019-11,85901
2019,12,2019-12,60725
2019,13,2019-01,55480
2019,13,2019-02,54581
2019,13,2019-03,79458
2019,13,2019-04,104586
2019,13,2019-05,109915
2019,13,2019-06,124358
2019,13,2019-07,120082
2019,13,2019-08,131233
2019,13,2019-09,139337
2019,13,2019-10,114827
2019,13,2019-11,87292
2019,13,2019-12,61150
2019,14,2019-01,56926
2019,14,2019-02,56186
2019,14,2019-03,82128
2019,14,2019-04,109173
2019,14,2019-05,116923
2019,14,2019-06,128384
2019,14,2019-07,120679
2019,14,2019-08,134144
2019,14,2019-09,142967
2019,14,2019-10,119315
2019,14,2019-11,91139
2019,14,2019-12,63554
2019,15,2019-01,58663
2019,15,2019-02,60195
2019,15,2019-03,87444
2019,15,2019-04,115327
2019,15,2019-05,126602
2019,15,2019-06,132837
2019,15,2019-07,124501
2019,15,2019-08,142419
2019,15,2019-09,149495
2019,15,2019-10,128740
2019,15,2019-11,96372
2019,15,2019-12,65357
2019,16,2019-01,68236
2019,16,2019-02,69873
2019,16,2019-03,100015
2019,16,2019-04,129790
2019,16,2019-05,145167
2019,16,2019-06,153283
2019,16,2019-07,147662
2019,16,2019-08,164959
2019,16,2019-09,173562
2019,16,2019-10,151890
2019,16,2019-11,109239
2019,16,2019-12,67301
2019,17,2019-01,95758
2019,17,2019-02,95210
2019,17,2019-03,138320
2019,17,2019-04,180935
2019,17,2019-05,196458
2019,17,2019-06,207012
2019,17,2019-07,212738
2019,17,2019-08,229096
2019,17,2019-09,250633
2019,17,2019-10,217703
2019,17,2019-11,137489
2019,17,2019-12,80024
2019,18,2019-01,88534
2019,18,2019-02,83679
2019,18,2019-03,129481
2019,18,2019-04,172605
2019,18,2019-05,177716
2019,18,2019-06,202762
2019,18,2019-07,211221
2019,18,2019-08,220709
2019,18,2019-09,241138
2019,18,2019-10,196224
2019,18,2019-11,122484
2019,18,2019-12,73442
2019,19,2019-01,58965
2019,19,2019-02,55739
2019,19,2019-03,85380
2019,19,2019-04,113940
2019,19,2019-05,127631
2019,19,2019-06,153163
2019,19,2019-07,159291
2019,19,2019-08,168402
2019,19,2019-09,161469
2019,19,2019-10,125013
2019,19,2019-11,83237
2019,19,2019-12,52060
2019,20,2019-01,39359
2019,20,2019-02,37141
2019,20,2019-03,55954
2019,20,2019-04,72960
2019,20,2019-05,84620
2019,20,2019-06,112866
2019,20,2019-07,115968
2019,20,2019-08,113021
2019,20,2019-09,108426
2019,20,2019-10,84988
2019,20,2019-11,57756
2019,20,2019-12,36161
2019,21,2019-01,27066
2019,21,2019-02,25914
2019,21,2019-03,37240
2019,21,2019-04,49858
2019,21,2019-05,55170
2019,21,2019-06,76237
2019,21,2019-07,81567
2019,21,2019-08,80280
2019,21,2019-09,78975
2019,21,2019-10,63312
2019,21,2019-11,42462
2019,21,2019-12,27058
2019,22,2019-01,19433
2019,22,2019-02,19472
2019,22,2019-03,27095
2019,22,2019-04,37726
2019,22,2019-05,43083
2019,22,2019-06,56403
2019,22,2019-07,62925
2019,22,2019-08,61302
2019,22,2019-09,58915
2019,22,2019-10,47351
2019,22,2019-11,31465
2019,22,2019-12,21035
2019,23,2019-01,11699
2019,23,2019-02,11912
2019,23,2019-03,18013
2019,23,2019-04,24084
2019,23,2019-05,30273
2019,23,2019-06,38047
2019,23,2019-07,40935
2019,23,2019-08,41442
2019,23,2019-09,39329
2019,23,2019-10,32165
2019,23,2019-11,20703
2019,23,2019-12,14521
2020,0,2020-01,9733
2020,0,2020-02,8757
2020,0,2020-03,7199
2020,0,2020-04,3778
2020,0,2020-05,9884
2020,0,2020-06,17274
2020,0,2020-07,26958
2020,0,2020-08,30367
2020,0,2020-09,26481
2020,0,2020-10,26180
2020,0,2020-11,18645
2020,0,2020-12,9450
2020,1,2020-01,5799
2020,1,2020-02,5092
2020,1,2020-03,4053
2020,1,2020-04,2138
2020,1,2020-05,5511
2020,1,2020-06,10139
2020,1,2020-07,15781
2020,1,2020-08,18557
2020,1,2020-09,15222
2020,1,2020-10,14901
2020,1,2020-11,10614
2020,1,2020-12,5489
2020,2,2020-01,3701
2020,2,2020-02,3167
2020,2,2020-03,2096
2020,2,2020-04,1282
2020,2,2020-05,3355
2020,2,2020-06,5777
2020,2,2020-07,9172
2020,2,2020-08,10756
2020,2,2020-09,8811
2020,2,2020-10,8320
2020,2,2020-11,5883
2020,2,2020-12,3432
2020,3,2020-01,2360
