,start station name,start station latitude,start station longitude
32215038,1 Ave & E 110 St,40.7923272,-73.9383
19032324,1 Ave & E 16 St,40.73221853,-73.98165557
25490238,1 Ave & E 16 St [temporarily removed],40.73221853,-73.98165557
64740537,1 Ave & E 18 St,40.73381219196632,-73.98054420948029
25720798,1 Ave & E 18 St [temporarily removed],40.73381219196632,-73.98054420948029
24341695,1 Ave & E 30 St,40.74144387,-73.97536082
45381669,1 Ave & E 39 St,40.74714,-73.97113
15085987,1 Ave & E 44 St,40.75001986,-73.96905301
35795413,1 Ave & E 5 St,40.725864,-73.986389
67241033,1 Ave & E 6 St,40.72633085971696,-73.98616880178452
50833132,1 Ave & E 62 St,40.761227,-73.96094
28360798,1 Ave & E 68 St,40.76500525,-73.95818491
60652312,1 Ave & E 78 St,40.77140426,-73.9535166
31064102,1 Ave & E 94 St,40.7817212,-73.94594
45049962,1 Pl & Clinton St,40.680959,-73.999057
63361702,1 St & 6 Ave,40.672784,-73.979826
63900160,10 Ave & W 14 St,40.74198159994023,-74.00831580162048
59728511,10 Ave & W 202 St,40.861281970750994,-73.921417593956
46445712,10 Ave & W 204 St,40.862638,-73.92006
68818800,10 Ave & W 207 St,40.864632,-73.918598
45434640,10 Ave & W 215 St,40.869324,-73.915197
29824793,10 Ave & W 28 St,40.75066386,-74.00176802
1270229,10 Hudson Yards,40.752957,-74.00264
40513423,10 St & 2 Ave,40.671907,-73.993612
39000041,10 St & 5 Ave,40.6686273,-73.98700053
38986170,10 St & 7 Ave,40.6662078,-73.98199886
67105729,11 Ave & Prospect Ave,40.65629,-73.977335
59994548,11 Ave & W 27 St,40.751396,-74.005226
63030872,11 Ave & W 41 St,40.76030096,-73.99884222
34069510,11 Ave & W 59 St,40.77149671054441,-73.99046033620834
2472453,11 St & 35 Ave,40.7627442,-73.9391141
40195186,11 St & 43 Ave,40.7519071,-73.9479119
65069937,11 St & Washington St,40.74998490907138,-74.02715027332306
68595923,12 Ave & 36 St,40.643546,-73.986418
43543030,12 Ave & W 125 St,40.818299,-73.960405
62438543,12 Ave & W 40 St,40.76087502,-74.00277668
30772125,12 St & 4 Ave,40.668603,-73.9904394
61875039,12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268
13245036,14 St & 5 Ave,40.666287,-73.98895053
4950758,14 St & 7 Ave,40.663779,-73.98396846
61848081,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053
58013412,16th St & 4th Ave,40.666197,-73.992466
63881188,17 St & 5 Ave,40.663493,-73.991007
45018490,18 St & 27 Ave,40.772768,-73.927436
50253469,19 St & 24 Ave,40.7774552,-73.9225403
67031952,19 St & 8 Ave,40.658489,-73.985543
62374563,2 Av & 37 St,40.656326,-74.009627
42023503,2 Ave & 29 St,40.74147,-73.978221
64820419,2 Ave & 32 St,40.659176,-74.006584
39974460,2 Ave & 36 St,40.65708866668485,-74.00870203971863
5642545,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863
3142179,2 Ave & 9 St,40.6724811,-73.99331394
34618426,2 Ave & E 104 St,40.7892105,-73.94370784
29176029,2 Ave & E 122 St,40.8006721,-73.9349
65197847,2 Ave & E 125 St,40.802554,-73.933509
45631643,2 Ave & E 29 St,40.741723,-73.978092
63991870,2 Ave & E 31 St,40.74290902,-73.97706058
58998490,2 Ave & E 55 St,40.757920208794026,-73.96638214588165
40531822,2 Ave & E 72 St,40.7687620293096,-73.95840793848038
45208825,2 Ave & E 96 St,40.783963,-73.947167
57712922,2 Ave & E 99 St,40.7862586,-73.94552579
48933859,2 St HBLR - 2 St & Marshall St,40.740801,-74.042434
46822739,20 Ave & 21 St,40.784003,-73.912297
61332501,20 Ave & 33 St,40.779399,-73.905708
62525320,20 Ave & 38 St,40.777112,-73.902382
62168711,20 Ave & 42 St,40.775415,-73.900063
44152140,20 Ave & 48 St,40.772899,-73.896849
58853147,20 Ave & Shore Blvd,40.785994,-73.915098
43303122,21 Ave & 80 St,40.770888,-73.889914
60030476,21 Ave & Crescent St,40.780478,-73.912212
51826628,21 Ave & Shore Blvd,40.783956,-73.916894
44905369,21 St & 21 Ave,40.782465,-73.914527
46728138,21 St & 23 Ave,40.778557,-73.919046
28469207,21 St & 31 Dr,40.7659,-73.930819
68893546,21 St & 36 Ave,40.7601853,-73.9362726
8113589,21 St & 38 Ave,40.7576314,-73.9391224
64647048,21 St & 4 Ave,40.662584,-73.995554
37001999,21 St & 43 Ave,40.75052534,-73.94594845
67543030,21 St & Hoyt Ave S,40.774645,-73.923706
29683587,21 St & Queens Plaza North,40.75325964,-73.94335788
60802553,23 Ave & 27 St,40.776165,-73.9153175
46482137,23 Rd & 29 St,40.77406,-73.914934
67804126,23 Rd & 31 St,40.77336750284339,-73.91382560133934
47457793,23 St & 3 Ave,40.662611,-73.998623
13310713,24 Ave & 26 St,40.774591,-73.918544
7189281,24 Ave & 29 St,40.7729,-73.916142
62486980,24 St & 38 Ave,40.756351,-73.936515
66050952,24 St & 41 Ave,40.752474,-73.939991
22896142,24 St & 41 Ave (original),40.7527085,-73.9397405
45096285,24 St & 5 Ave,40.659555,-73.995068
68567271,25 Ave & 41 St,40.767666,-73.910963
67009700,27 Ave & 3 St,40.77485,-73.9342
3022009,27 Ave & 4 St,40.7747175,-73.9337894
45817025,27 Ave & 9 St,40.773982,-73.930913
33673584,27 St & Hunter St,40.7485,-73.941275
26150608,28 Ave & 35 St,40.7671,-73.9169858
16147552,28 Ave & 44 St,40.76408932350688,-73.91065120697021
38597791,28 St & 36 Ave,40.757186,-73.932719
834302,28 St & 38 Ave,40.754876,-73.934326
7605034,28 St & 41 Ave,40.751047,-73.93797
63022945,29 St & 5 Ave,40.656986,-73.998194
44577809,3 Ave & 14 St,40.668545,-73.993332
43816922,3 Ave & 17 St,40.666168,-73.995549
18972032,3 Ave & Carroll St,40.677027,-73.9865
23122972,3 Ave & E 100 St,40.7877214,-73.94728331
39540608,3 Ave & E 112 St,40.795508,-73.941606
58070342,3 Ave & E 163 St,40.823872,-73.908699
35924311,3 Ave & E 169 St,40.832678,-73.905158
35711874,3 Ave & E 170 St,40.834857,-73.903743
36875584,3 Ave & E 172 St,40.839586,-73.900277
38071928,3 Ave & E 174 St,40.84224,-73.8985
49578362,3 Ave & E 174 St - Bathgate Vaccination Site,40.84224,-73.8985
37770198,3 Ave & E 62 St,40.76312584,-73.96526895
43234788,3 Ave & E 71 St,40.768736,-73.961199
57082867,3 Ave & E 72 St,40.7699426,-73.96060712
2551488,3 Ave & E 95 St,40.78459679884892,-73.94968539476395
65803653,3 Ave & Franklin Ave,40.82696,-73.907451
54274133,3 Ave & Schermerhorn St,40.68683208,-73.9796772
56315330,3 Ave & Wakeman Pl,40.638246,-74.024714
7393890,3 St & 3 Ave,40.6750705,-73.98775226
64894256,3 St & 7 Ave,40.6703837,-73.97839676
65414145,3 St & Hoyt St,40.6777287,-73.99364123
43673713,3 St & Prospect Park West,40.668132,-73.973638
42938391,30 Ave & 21 St,40.770374,-73.928607
60014762,30 Ave & 41 St,40.763422,-73.914142
48317270,30 Ave & 47 St,40.761294,-73.909562
45885386,30 St & 4 Ave,40.657743,-74.001141
39948370,31 Ave & 14 St,40.7682,-73.9322662
37038541,31 Ave & 30 St,40.7647,-73.9240312
10715585,31 Ave & 34 St,40.763154,-73.920827
45097560,31 Ave & 57 St,40.757357,-73.904726
64473175,31 Ave & 61 St,40.757525,-73.901614
14582988,31 Ave & Crescent St,40.7658346,-73.9265474
37379338,31 Ave & Steinway St,40.7611488,-73.9170071
22302960,31 Ave & Steinway St (temp),40.761293897289086,-73.916916847229
67110709,31 Rd & 21 St,40.766824,-73.930486
43590643,31 St & 21 Ave,40.77813,-73.90842
6482926,31 St & 23 Ave,40.7747878,-73.9125551
1288877,31 St & 35 Ave,40.75820464696758,-73.92832159996033
12406837,31 St & Astoria Blvd,40.7699176,-73.9184057
31408745,31 St & Broadway,40.761584,-73.925921
55862231,31 St & Ditmars Blvd,40.776168,-73.910485
24438571,31 St & Hoyt Ave N,40.7711528,-73.9170074
48417842,31 St & Newtown Ave,40.767548,-73.920933
29947037,31 St & Northern Blvd,40.75186951421875,-73.93349289894103
568955,31 St & Thomson Ave,40.74469738,-73.93540375
26726742,34 Ave & 13 St,40.7638753,-73.9364848
45959041,34 Ave & 21 St,40.762813,-73.934286
