year_month,station name,start counts,end counts,Total Starts/Stops
2019-01,1 Ave & E 110 St,776.0,787.0,1563.0
2019-01,1 Ave & E 16 St,4236.0,4328.0,8564.0
2019-01,1 Ave & E 18 St,3261.0,3250.0,6511.0
2019-01,1 Ave & E 30 St,2461.0,2578.0,5039.0
2019-01,1 Ave & E 44 St,2110.0,2118.0,4228.0
2019-01,1 Ave & E 62 St,2439.0,2461.0,4900.0
2019-01,1 Ave & E 68 St,3642.0,3664.0,7306.0
2019-01,1 Ave & E 78 St,2725.0,2777.0,5502.0
2019-01,1 Ave & E 94 St,878.0,906.0,1784.0
2019-01,1 Pl & Clinton St,526.0,497.0,1023.0
2019-01,10 Hudson Yards,295.0,277.0,572.0
2019-01,10 St & 5 Ave,405.0,411.0,816.0
2019-01,10 St & 7 Ave,728.0,658.0,1386.0
2019-01,11 Ave & W 27 St,2688.0,2709.0,5397.0
2019-01,11 Ave & W 41 St,2749.0,2783.0,5532.0
2019-01,11 Ave & W 59 St,2365.0,2403.0,4768.0
2019-01,11 St & 35 Ave,81.0,80.0,161.0
2019-01,11 St & 43 Ave,89.0,103.0,192.0
2019-01,12 Ave & W 40 St,2553.0,2625.0,5178.0
2019-01,12 St & 4 Ave,201.0,213.0,414.0
2019-01,14 St & 5 Ave,498.0,503.0,1001.0
2019-01,14 St & 7 Ave,668.0,584.0,1252.0
2019-01,19 St & 24 Ave,234.0,239.0,473.0
2019-01,2 Ave & 36 St - Citi Bike HQ at Industry City,266.0,365.0,631.0
2019-01,2 Ave & 9 St,205.0,207.0,412.0
2019-01,2 Ave & E 104 St,677.0,688.0,1365.0
2019-01,2 Ave & E 122 St,252.0,264.0,516.0
2019-01,2 Ave & E 31 St,3163.0,3190.0,6353.0
2019-01,2 Ave & E 72 St,718.0,724.0,1442.0
2019-01,2 Ave & E 96 St,1359.0,1374.0,2733.0
2019-01,2 Ave & E 99 St,446.0,452.0,898.0
2019-01,21 St & 31 Dr,322.0,317.0,639.0
2019-01,21 St & 36 Ave,53.0,51.0,104.0
2019-01,21 St & 38 Ave,53.0,49.0,102.0
2019-01,21 St & 43 Ave,184.0,190.0,374.0
2019-01,21 St & Hoyt Ave S,71.0,69.0,140.0
2019-01,21 St & Queens Plaza North,441.0,448.0,889.0
2019-01,23 Ave & 27 St,111.0,110.0,221.0
2019-01,24 Ave & 26 St,250.0,249.0,499.0
2019-01,24 Ave & 29 St,149.0,150.0,299.0
2019-01,24 St & 41 Ave,344.0,349.0,693.0
2019-01,27 Ave & 4 St,70.0,62.0,132.0
2019-01,27 Ave & 9 St,77.0,75.0,152.0
2019-01,27 St & Hunter St,342.0,347.0,689.0
2019-01,28 Ave & 35 St,188.0,188.0,376.0
2019-01,28 Ave & 44 St,169.0,170.0,339.0
2019-01,28 St & 36 Ave,175.0,176.0,351.0
2019-01,28 St & 38 Ave,276.0,276.0,552.0
2019-01,28 St & 41 Ave,455.0,449.0,904.0
2019-01,3 Ave & 14 St,250.0,256.0,506.0
2019-01,3 Ave & E 100 St,243.0,252.0,495.0
2019-01,3 Ave & E 112 St,213.0,218.0,431.0
2019-01,3 Ave & E 62 St,1150.0,1148.0,2298.0
2019-01,3 Ave & E 71 St,476.0,481.0,957.0
2019-01,3 Ave & E 72 St,656.0,663.0,1319.0
2019-01,3 Ave & E 95 St,604.0,605.0,1209.0
2019-01,3 Ave & Schermerhorn St,859.0,950.0,1809.0
2019-01,3 St & 3 Ave,657.0,669.0,1326.0
2019-01,3 St & 7 Ave,600.0,553.0,1153.0
2019-01,3 St & Hoyt St,369.0,352.0,721.0
2019-01,3 St & Prospect Park West,1056.0,820.0,1876.0
2019-01,30 Ave & 21 St,96.0,92.0,188.0
2019-01,31 Ave & 14 St,185.0,186.0,371.0
2019-01,31 Ave & 30 St,192.0,191.0,383.0
2019-01,31 Ave & 34 St,333.0,334.0,667.0
2019-01,31 Ave & Crescent St,227.0,233.0,460.0
2019-01,31 Ave & Steinway St,267.0,265.0,532.0
2019-01,31 St & 23 Ave,694.0,697.0,1391.0
2019-01,31 St & 35 Ave,221.0,221.0,442.0
2019-01,31 St & Astoria Blvd,387.0,390.0,777.0
2019-01,31 St & Broadway,419.0,421.0,840.0
2019-01,31 St & Hoyt Ave N,266.0,266.0,532.0
2019-01,31 St & Newtown Ave,323.0,319.0,642.0
2019-01,31 St & Northern Blvd,171.0,148.0,319.0
2019-01,31 St & Thomson Ave,239.0,255.0,494.0
2019-01,34 Ave & 13 St,72.0,79.0,151.0
2019-01,34 Ave & 21 St,183.0,184.0,367.0
2019-01,34 Ave & 38 St,562.0,568.0,1130.0
2019-01,34 St & 35 Ave,154.0,154.0,308.0
2019-01,35 Ave & 10 St,145.0,148.0,293.0
2019-01,35 Ave & 37 St,259.0,255.0,514.0
2019-01,35 St & 34 Ave,176.0,181.0,357.0
2019-01,35 St & Broadway,194.0,195.0,389.0
2019-01,36 Ave & 10 St,116.0,109.0,225.0
2019-01,37 Ave & 35 St,138.0,145.0,283.0
2019-01,37 St & 24 Ave,149.0,152.0,301.0
2019-01,39 St & 2 Ave - Citi Bike HQ at Industry City,119.0,165.0,284.0
2019-01,4 Ave & 2 St,287.0,328.0,615.0
2019-01,4 Ave & 9 St,461.0,461.0,922.0
2019-01,40 Ave & 9 St,152.0,159.0,311.0
2019-01,40 Ave & Crescent St,82.0,85.0,167.0
2019-01,43 St & Broadway,315.0,316.0,631.0
2019-01,44 Dr & 21 St,676.0,682.0,1358.0
2019-01,44 Dr & Jackson Ave,636.0,613.0,1249.0
2019-01,45 Rd & 11 St,635.0,647.0,1282.0
2019-01,46 Ave & 5 St,914.0,929.0,1843.0
2019-01,47 Ave & 31 St,229.0,234.0,463.0
2019-01,47 Ave & Skillman Ave,27.0,30.0,57.0
2019-01,48 Ave & 30 Pl,119.0,129.0,248.0
2019-01,48 Ave & 5 St,220.0,204.0,424.0
2019-01,49 Ave & 21 St,278.0,275.0,553.0
2019-01,5 Ave & 3 St,910.0,958.0,1868.0
2019-01,5 Ave & E 103 St,975.0,992.0,1967.0
2019-01,5 Ave & E 126 St,264.0,262.0,526.0
2019-01,5 Ave & E 29 St,2966.0,3022.0,5988.0
2019-01,5 Ave & E 63 St,968.0,968.0,1936.0
2019-01,5 Ave & E 73 St,1746.0,1762.0,3508.0
2019-01,5 Ave & E 78 St,1571.0,1555.0,3126.0
2019-01,5 Ave & E 88 St,1625.0,1607.0,3232.0
2019-01,5 Ave & E 93 St,618.0,608.0,1226.0
2019-01,5 Corners Library,105.0,71.0,176.0
2019-01,5 St & 51 Ave,219.0,229.0,448.0
2019-01,5 St & 6 Ave,542.0,527.0,1069.0
2019-01,5 St & Market St,249.0,245.0,494.0
2019-01,58th St Depot,5.0,3.0,8.0
2019-01,6 Ave & 12 St,460.0,432.0,892.0
2019-01,6 Ave & 9 St,956.0,955.0,1911.0
2019-01,6 Ave & Canal St,1986.0,2521.0,4507.0
2019-01,6 Ave & Spring St,2442.0,2465.0,4907.0
2019-01,6 Ave & W 33 St,4575.0,4607.0,9182.0
2019-01,6 St & 7 Ave,650.0,560.0,1210.0
2019-01,7 Ave & Central Park South,624.0,634.0,1258.0
2019-01,7 St & 3 Ave,299.0,303.0,602.0
2019-01,7 St & 5 Ave,403.0,410.0,813.0
2019-01,8 Ave & W 31 St,6291.0,6555.0,12846.0
2019-01,8 Ave & W 33 St,5214.0,5264.0,10478.0
2019-01,8 Ave & W 52 St,2583.0,2599.0,5182.0
2019-01,9 Ave & W 22 St,3444.0,3517.0,6961.0
2019-01,9 Ave & W 28 St,2004.0,2061.0,4065.0
2019-01,9 Ave & W 45 St,3143.0,3187.0,6330.0
2019-01,9 St & 44 Rd,194.0,212.0,406.0
2019-01,Adam Clayton Powell Blvd & W 115 St,296.0,306.0,602.0
2019-01,Adam Clayton Powell Blvd & W 118 St,354.0,382.0,736.0
2019-01,Adam Clayton Powell Blvd & W 123 St,461.0,459.0,920.0
2019-01,Adam Clayton Powell Blvd & W 126 St,321.0,324.0,645.0
