year,month,year_month,Total Rides,Average Ride (min),Member Rides,Casual Rides,Classic Bike Rides,Electric Bike Rides
2019,April,2019-04,1799150,18.0,1566869,232281,0,0
2019,August,2019-08,2392935,17.0,1941681,451254,0,0
2019,December,2019-12,974938,14.0,896077,78861,0,0
2019,February,2019-02,962309,13.0,915520,46789,0,0
2019,January,2019-01,986963,13.0,946381,40582,0,0
2019,July,2019-07,2224810,17.0,1840550,384260,0,0
2019,June,2019-06,2164800,18.0,1786187,378613,0,0
2019,March,2019-03,1351566,15.0,1243831,107735,0,0
2019,May,2019-05,1960698,18.0,1662361,298337,0,0
2019,November,2019-11,1509505,14.0,1354619,154886,0,0
2019,October,2019-10,2134826,15.0,1835017,299809,0,0
2019,September,2019-09,2494144,17.0,2052349,441795,0,0
2020,April,2020-04,692030,27.0,523187,168843,0,0
2020,August,2020-08,2372781,23.0,1698242,674539,0,0
2020,December,2020-12,1100623,17.0,930021,170602,0,0
2020,February,2020-02,1169792,13.0,1076380,93412,0,0
2020,January,2020-01,1266616,13.0,1170255,96361,0,0
2020,July,2020-07,2144488,27.0,1554246,590242,0,0
2020,June,2020-06,1919194,28.0,1326513,592681,0,0
2020,March,2020-03,1086176,19.0,929260,156916,0,0
2020,May,2020-05,1512967,27.0,1025011,487956,0,0
2020,November,2020-11,1757979,19.0,1377915,380064,0,0
2020,October,2020-10,2292406,20.0,1732471,559935,0,0
2020,September,2020-09,2528607,23.0,1843796,684811,0,0
2021,April,2021-04,2091443,19.0,1582357,509086,0,122
2021,August,2021-08,3166654,18.0,2179088,987566,2326911,804768
2021,December,2021-12,1796308,18.0,1425774,370534,1067238,718057
2021,February,2021-02,654864,17.0,561396,93468,0,0
2021,January,2021-01,1106970,16.0,954817,152153,0,0
2021,July,2021-07,3167492,19.0,2143228,1024264,2165190,961385
2021,June,2021-06,3249523,26.0,2252741,996782,755777,1115940
2021,March,2021-03,1548217,18.0,1215326,332891,0,0
2021,May,2021-05,2769208,19.0,1937937,831271,0,148
2021,November,2021-11,2219345,17.0,1724529,494816,1472915,733228
2021,October,2021-10,3157997,18.0,2316865,841132,2459843,674505
2021,September,2021-09,3377873,18.0,2344805,1033068,2636890,706393
